year,year_lag,gdp_growth,cpi_inflation_avg,cpi_inflation_min,cpi_inflation_max,une_avg,une_min,une_max,int_med,int_min,int_max,consumer_confidence
1998,1999,0.0448313,0.022857208,0.0213144,0.024735,0.045,0.043,0.047,0.055,0.0468,0.0556,Good
1999,2000,0.0478843,0.020768592,0.0189873,0.0239486,0.042,0.04,0.044,0.049,0.0463,0.0542,Good
2000,2001,0.0407759,0.024335133,0.0199658,0.025974,0.04,0.038,0.041,0.0645,0.0545,0.0654,Good
2001,2002,0.0095554,0.026705233,0.0254284,0.0278689,0.047,0.042,0.057,0.0387,0.0182,0.0598,Neutral
2002,2003,0.0170044,0.023204683,0.0191693,0.0260304,0.058,0.057,0.06,0.0174,0.0124,0.0175,Neutral
2003,2004,0.0279561,0.014583392,0.0109489,0.0191286,0.06,0.057,0.063,0.01125,0.0098,0.0126,Neutral
2004,2005,0.0384777,0.017587383,0.0114703,0.0216942,0.055,0.054,0.058,0.01145,0.01,0.0216,Good
2005,2006,0.0348355,0.02170405,0.0197568,0.0236018,0.051,0.049,0.054,0.0315,0.0228,0.0416,Neutral
2006,2007,0.0278453,0.025003633,0.0205514,0.0293095,0.046,0.044,0.048,0.05115,0.0429,0.0525,Neutral
2007,2008,0.0200386,0.023381592,0.0213401,0.0270727,0.046,0.044,0.05,0.0525,0.0424,0.0526,Neutral
2008,2009,0.0011358,0.022986192,0.0176308,0.0254132,0.058,0.049,0.073,0.02,0.0016,0.0394,Poor
2009,2010,-0.025765,0.016997342,0.0144127,0.0189901,0.093,0.078,0.1,0.00155,0.0012,0.0022,Poor
2010,2011,0.0269519,0.009597783,0.006107,0.0155362,0.096,0.093,0.099,0.00185,0.0011,0.002,Poor
2011,2012,0.0156441,0.016575433,0.0095008,0.0222954,0.089,0.085,0.091,0.0009,0.0007,0.0017,Poor
2012,2013,0.0228911,0.02110845,0.0189336,0.0231351,0.081,0.077,0.083,0.0015,0.0008,0.0016,Poor
2013,2014,0.0211783,0.017635292,0.0163608,0.0200426,0.074,0.067,0.08,0.0009,0.0008,0.0015,Neutral
2014,2015,0.0252382,0.017495783,0.0156734,0.0195621,0.062,0.056,0.067,0.0009,0.0007,0.0012,Neutral
2015,2016,0.0294555,0.018279267,0.0164891,0.020957,0.053,0.05,0.057,0.0012,0.0011,0.0024,Neutral
2016,2017,0.0181945,0.022110692,0.0211083,0.0233128,0.049,0.047,0.051,0.00385,0.0034,0.0054,Neutral
2017,2018,0.0245762,0.01845505,0.016844,0.0227172,0.044,0.041,0.047,0.01095,0.0065,0.013,Good
2018,2019,0.029665,0.021393783,0.018214,0.0235417,0.039,0.037,0.041,0.01865,0.0141,0.0227,Good
